id,x,y,z,index,time,u,v,r,z_offset
0,8,0,30,0,0,0,0,2,30
0,8.564573695,1.793210789,30,1,0.158730159,0.0997331,0,2.009938449,30
0,9.045553055,3.574488068,30,2,0.317460317,0.1994662,0,2.039655024,30
0,9.419449458,5.33178343,30,3,0.476190476,0.2991993,0,2.088854388,30
0,9.664125848,7.052829076,30,4,0.634920635,0.3989324,0,2.157047576,30
0,9.759747239,8.725053649,30,5,0.793650794,0.498665501,0,2.243556853,30
0,9.689667965,10.33552741,30,6,0.952380952,0.598398601,0,2.347522451,30
0,9.441219513,11.87094444,30,7,1.111111111,0.698131701,0,2.467911114,30
0,9.006366419,13.3176478,30,8,1.26984127,0.797864801,0,2.603526364,30
0,8.382202689,14.66170174,30,9,1.428571429,0.897597901,0,2.753020396,30
0,7.571267299,15.88901261,30,10,1.587301587,0.997331001,0,2.914907472,30
0,6.581664263,16.98549817,30,11,1.746031746,1.097064101,0,3.087578685,30
0,5.426980329,17.93730224,30,12,1.904761905,1.196797201,0,3.269317951,30
0,4.126001173,18.73104974,30,13,2.063492063,1.296530301,0,3.458319064,30
0,2.702234827,19.35413492,30,14,2.222222222,1.396263402,0,3.652703645,30
0,1.183258561,19.79503368,30,15,2.380952381,1.495996502,0,3.850539813,30
0,-0.400087653,20.04362953,30,16,2.53968254,1.595729602,0,4.049861383,30
0,-2.014631953,20.09154153,30,17,2.698412698,1.695462702,0,4.248687409,30
0,-3.625891689,19.93244198,30,18,2.857142857,1.795195802,0,4.445041868,30
0,-5.199147226,19.56235133,30,19,3.015873016,1.894928902,0,4.636973301,30
0,-6.700528803,18.97989825,30,20,3.174603175,1.994662002,0,4.822574206,30
0,-8.098076211,18.18653348,30,21,3.333333333,2.094395102,0,5,30
0,-9.362732111,17.18668746,30,22,3.492063492,2.194128203,0,5.167487344,30
0,-10.46923229,15.98786327,30,23,3.650793651,2.293861303,0,5.323371675,30
0,-11.3968602,14.60065855,30,24,3.80952381,2.393594403,0,5.466103744,30
0,-12.13003828,13.03871245,30,25,3.968253968,2.493327503,0,5.594265014,30
0,-12.6587349,11.31857588,30,26,4.126984127,2.593060603,0,5.706581763,30
0,-12.97867293,9.459506265,30,27,4.285714286,2.692793703,0,5.801937736,30
0,-13.09133348,7.483190476,30,28,4.444444444,2.792526803,0,5.879385242,30
0,-13.00375637,5.413401932,30,29,4.603174603,2.892259903,0,5.938154572,30
0,-12.72814659,3.275600498,30,30,4.761904762,2.991993003,0,5.977661652,30
0,-12.28130353,1.09648556,30,31,4.920634921,3.091726104,0,5.997513842,30
0,-11.69135183,-0.797534171,30,32,5.079365079,3.191459204,0,5.997513842,30
0,-11.02638109,-2.384676259,30,33,5.238095238,3.291192304,0,5.977661652,30
0,-10.31785635,-3.948118363,30,34,5.396825397,3.390925404,0,5.938154572,30
0,-9.589178137,-5.472322293,30,35,5.555555556,3.490658504,0,5.879385242,30
0,-8.862256496,-6.942139826,30,36,5.714285714,3.590391604,0,5.801937736,30
0,-8.156711627,-8.342963254,30,37,5.873015873,3.690124704,0,5.706581763,30
0,-7.489187317,-9.660870565,30,38,6.031746032,3.789857804,0,5.594265014,30
0,-6.872803583,-10.8827638,30,39,6.19047619,3.889590904,0,5.466103744,30
0,-6.316769081,-11.99649925,30,40,6.349206349,3.989324005,0,5.323371675,30
